Time_Index,res_hydro_1,natural_gas_2,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,fixed_offshore_wind_2,float_offshore_wind_2,battery_2,ror_hydro_2,pumped_hydro_2,fusion_2,perfect_gen,newBESS_2,fusion_new_2
51,0.262,1,1,0,0,0,0.7339,0.8862,0.8862,1,0.552743642,1,1,1,1,1
52,0.262,1,1,0,0,0,0.4561,0.8569,0.8569,1,0.552743642,1,1,1,1,1
53,0.262,1,1,0,0,0,0.8269,0.8904,0.8904,1,0.552743642,1,1,1,1,1
54,0.262,1,1,0,0,0,0.2108,0.3169,0.3169,1,0.552743642,1,1,1,1,1
55,0.262,1,1,0,0,0,0.7569,0.8701,0.8701,1,0.552743642,1,1,1,1,1
56,0.262,1,1,0.010603,0.006076335,0.005586965,0.335,0.1591,0.1591,1,0.552743642,1,1,1,1,1
57,0.262,1,1,0.132385,0.075866788,0.069756712,0.4875,0.9121,0.9121,1,0.552743642,1,1,1,1,1
58,0.262,1,1,0.324194,0.1857881,0.1708253,0.8347,0.8929,0.8929,1,0.552743642,1,1,1,1,1
59,0.262,1,1,0.458789,0.262921388,0.241746512,0.5224,0.6756,0.6756,1,0.552743642,1,1,1,1,1
60,0.262,1,1,0.46985,0.269260192,0.247574808,0.4471,0.6604,0.6604,1,0.552743642,1,1,1,1,1
61,0.262,1,1,0.427988,0.245270046,0.225516754,0.1984,0.2912,0.2912,1,0.552743642,1,1,1,1,1
62,0.262,1,1,0.326033,0.186841988,0.171794312,0.1144,0.2408,0.2408,1,0.552743642,1,1,1,1,1
63,0.262,1,1,0.247429,0.14179585,0.13037605,0.4021,0.2761,0.2761,1,0.552743642,1,1,1,1,1
64,0.262,1,1,0.075935,0.043516596,0.040011904,0.1937,0.7045,0.7045,1,0.552743642,1,1,1,1,1
65,0.262,1,1,0.007426,0.004255669,0.003912931,0.6665,0.8628,0.8628,1,0.552743642,1,1,1,1,1
66,0.262,1,1,0,0,0,0.6779,0.9062,0.9062,1,0.552743642,1,1,1,1,1
67,0.262,1,1,0,0,0,0.1032,0.4113,0.4113,1,0.552743642,1,1,1,1,1
68,0.262,1,1,0,0,0,0.2364,0.0954,0.0954,1,0.552743642,1,1,1,1,1
69,0.262,1,1,0,0,0,0.418,0.8207,0.8207,1,0.552743642,1,1,1,1,1
70,0.262,1,1,0,0,0,0.7835,0.6393,0.6393,1,0.552743642,1,1,1,1,1
71,0.262,1,1,0,0,0,0.7861,0.871,0.871,1,0.552743642,1,1,1,1,1
72,0.262,1,1,0,0,0,0.2112,0.3073,0.3073,1,0.552743642,1,1,1,1,1
73,0.262,1,1,0,0,0,0.494,0.8862,0.8862,1,0.552743642,1,1,1,1,1
74,0.262,1,1,0,0,0,0.8248,0.9075,0.9075,1,0.552743642,1,1,1,1,1
75,0.262,1,1,0,0,0,0.743,0.3177,0.3177,1,0.552743642,1,1,1,1,1
76,0.262,1,1,0,0,0,0.6569,0.2354,0.2354,1,0.552743642,1,1,1,1,1
77,0.262,1,1,0,0,0,0.4129,0.1824,0.1824,1,0.552743642,1,1,1,1,1
78,0.262,1,1,0,0,0,0.5647,0.8563,0.8563,1,0.552743642,1,1,1,1,1
79,0.262,1,1,0,0,0,0.4005,0.2629,0.2629,1,0.552743642,1,1,1,1,1
80,0.262,1,1,0.006438,0.003689469,0.003392331,0.0999,0.1395,0.1395,1,0.552743642,1,1,1,1,1
81,0.262,1,1,0.026866,0.015396285,0.014156315,0.4493,0.8625,0.8625,1,0.552743642,1,1,1,1,1
82,0.262,1,1,0.083991,0.048133304,0.044256796,0.8563,0.8204,0.8204,1,0.552743642,1,1,1,1,1
83,0.262,1,1,0.179757,0.103014588,0.094718112,0.8061,0.9019,0.9019,1,0.552743642,1,1,1,1,1
84,0.262,1,1,0.21405,0.122667115,0.112787885,0.7972,0.7573,0.7573,1,0.552743642,1,1,1,1,1
85,0.262,1,1,0.260146,0.149083669,0.137076931,0.6273,0.446,0.446,1,0.552743642,1,1,1,1,1
86,0.262,1,1,0.237563,0.136141873,0.125177427,0.6937,0.5925,0.5925,1,0.552743642,1,1,1,1,1
87,0.262,1,1,0.193729,0.111021619,0.102080281,0.6815,0.7837,0.7837,1,0.552743642,1,1,1,1,1
88,0.262,1,1,0.065996,0.037820785,0.034774815,0.5339,0.2986,0.2986,1,0.552743642,1,1,1,1,1
89,0.262,1,1,0.003403,0.001950181,0.001793119,0.1866,0.4037,0.4037,1,0.552743642,1,1,1,1,1
90,0.262,1,1,0,0,0,0.8098,0.753,0.753,1,0.552743642,1,1,1,1,1
91,0.262,1,1,0,0,0,0.3362,0.3199,0.3199,1,0.552743642,1,1,1,1,1
92,0.262,1,1,0,0,0,0.1988,0.6702,0.6702,1,0.552743642,1,1,1,1,1
93,0.262,1,1,0,0,0,0.4089,0.3437,0.3437,1,0.552743642,1,1,1,1,1
94,0.262,1,1,0,0,0,0.2735,0.0938,0.0938,1,0.552743642,1,1,1,1,1
95,0.262,1,1,0,0,0,0.3237,0.0744,0.0744,1,0.552743642,1,1,1,1,1
96,0.262,1,1,0,0,0,0.258,0.3236,0.3236,1,0.552743642,1,1,1,1,1
97,0.262,1,1,0,0,0,0.2786,0.5849,0.5849,1,0.552743642,1,1,1,1,1
98,0.262,1,1,0,0,0,0.3629,0.2024,0.2024,1,0.552743642,1,1,1,1,1
99,0.262,1,1,0,0,0,0.6118,0.6846,0.6846,1,0.552743642,1,1,1,1,1
100,0.262,1,1,0,0,0,0.5397,0.2387,0.2387,1,0.552743642,1,1,1,1,1
101,0.262,1,1,0,0,0,0.2112,0.1429,0.1429,1,0.552743642,1,1,1,1,1
102,0.262,1,1,0,0,0,0.3046,0.462,0.462,1,0.552743642,1,1,1,1,1
103,0.262,1,1,0,0,0,0.6597,0.8771,0.8771,1,0.552743642,1,1,1,1,1
104,0.262,1,1,0.006792,0.003892338,0.003578862,0.8306,0.8297,0.8297,1,0.552743642,1,1,1,1,1
105,0.262,1,1,0.046628,0.026721431,0.024569369,0.7917,0.5561,0.5561,1,0.552743642,1,1,1,1,1
106,0.262,1,1,0.14647,0.083938577,0.077178423,0.4,0.1629,0.1629,1,0.552743642,1,1,1,1,1
107,0.262,1,1,0.262841,0.150628112,0.138496988,0.3118,0.3614,0.3614,1,0.552743642,1,1,1,1,1
108,0.262,1,1,0.341061,0.195454188,0.179712912,0.3815,0.4632,0.4632,1,0.552743642,1,1,1,1,1
109,0.262,1,1,0.280591,0.160800227,0.147849873,0.7862,0.4773,0.4773,1,0.552743642,1,1,1,1,1
110,0.262,1,1,0.171345,0.098193865,0.090285635,0.4968,0.5131,0.5131,1,0.552743642,1,1,1,1,1
111,0.262,1,1,0.113249,0.064900388,0.059673512,0.4013,0.8687,0.8687,1,0.552743642,1,1,1,1,1
112,0.262,1,1,0.035753,0.020489219,0.018839081,0.6375,0.8968,0.8968,1,0.552743642,1,1,1,1,1
113,0.262,1,1,0.001601,0.000917496,0.000843604,0.7969,0.5778,0.5778,1,0.552743642,1,1,1,1,1
114,0.262,1,1,0,0,0,0.6716,0.7846,0.7846,1,0.552743642,1,1,1,1,1
115,0.262,1,1,0,0,0,0.8329,0.8656,0.8656,1,0.552743642,1,1,1,1,1
116,0.262,1,1,0,0,0,0.0798,0.1074,0.1074,1,0.552743642,1,1,1,1,1
117,0.262,1,1,0,0,0,0.6192,0.5783,0.5783,1,0.552743642,1,1,1,1,1
118,0.262,1,1,0,0,0,0.6327,0.5861,0.5861,1,0.552743642,1,1,1,1,1
119,0.262,1,1,0,0,0,0.67,0.315,0.315,1,0.552743642,1,1,1,1,1
120,0.262,1,1,0,0,0,0.3805,0.2879,0.2879,1,0.552743642,1,1,1,1,1
121,0.262,1,1,0,0,0,0.338,0.6867,0.6867,1,0.552743642,1,1,1,1,1
122,0.262,1,1,0,0,0,0.7361,0.8347,0.8347,1,0.552743642,1,1,1,1,1
123,0.262,1,1,0,0,0,0.78,0.7819,0.7819,1,0.552743642,1,1,1,1,1
124,0.262,1,1,0,0,0,0.8062,0.8944,0.8944,1,0.552743642,1,1,1,1,1
125,0.262,1,1,0,0,0,0.4037,0.8767,0.8767,1,0.552743642,1,1,1,1,1
126,0.262,1,1,0,0,0,0.2015,0.3119,0.3119,1,0.552743642,1,1,1,1,1
127,0.262,1,1,0,0,0,0.2386,0.2404,0.2404,1,0.552743642,1,1,1,1,1
128,0.262,1,1,0.004404,0.002523831,0.002320569,0.3368,0.2907,0.2907,1,0.552743642,1,1,1,1,1
129,0.262,1,1,0.058438,0.033489469,0.030792331,0.5436,0.2885,0.2885,1,0.552743642,1,1,1,1,1
130,0.262,1,1,0.155269,0.088981081,0.081814819,0.3213,0.0416,0.0416,1,0.552743642,1,1,1,1,1
131,0.262,1,1,0.27648,0.158444308,0.145683692,0.2928,0.6341,0.6341,1,0.552743642,1,1,1,1,1
132,0.262,1,1,0.35266,0.202101308,0.185824692,0.5306,0.7622,0.7622,1,0.552743642,1,1,1,1,1
133,0.262,1,1,0.265091,0.151917535,0.139682565,0.7181,0.5646,0.5646,1,0.552743642,1,1,1,1,1
134,0.262,1,1,0.203409,0.116569004,0.107180896,0.4734,0.4316,0.4316,1,0.552743642,1,1,1,1,1
135,0.262,1,1,0.09216,0.052814769,0.048561231,0.5547,0.6427,0.6427,1,0.552743642,1,1,1,1,1
136,0.262,1,1,0.044593,0.025555219,0.023497081,0.3627,0.7873,0.7873,1,0.552743642,1,1,1,1,1
137,0.262,1,1,0.004189,0.002400619,0.002207281,0.1268,0.3514,0.3514,1,0.552743642,1,1,1,1,1
138,0.262,1,1,0,0,0,0.1879,0.0701,0.0701,1,0.552743642,1,1,1,1,1
139,0.262,1,1,0,0,0,0.1394,0.5809,0.5809,1,0.552743642,1,1,1,1,1
140,0.262,1,1,0,0,0,0.113,0.7378,0.7378,1,0.552743642,1,1,1,1,1
141,0.262,1,1,0,0,0,0.2274,0.2028,0.2028,1,0.552743642,1,1,1,1,1
142,0.262,1,1,0,0,0,0.3504,0.6155,0.6155,1,0.552743642,1,1,1,1,1
143,0.262,1,1,0,0,0,0.2206,0.6633,0.6633,1,0.552743642,1,1,1,1,1
144,0.262,1,1,0,0,0,0.216,0.6831,0.6831,1,0.552743642,1,1,1,1,1
145,0.262,1,1,0,0,0,0.3119,0.5814,0.5814,1,0.552743642,1,1,1,1,1
146,0.262,1,1,0,0,0,0.3482,0.2539,0.2539,1,0.552743642,1,1,1,1,1
147,0.262,1,1,0,0,0,0.4883,0.5483,0.5483,1,0.552743642,1,1,1,1,1
148,0.262,1,1,0,0,0,0.2002,0.3472,0.3472,1,0.552743642,1,1,1,1,1
149,0.262,1,1,0,0,0,0.3811,0.5985,0.5985,1,0.552743642,1,1,1,1,1
150,0.262,1,1,0,0,0,0.4494,0.3533,0.3533,1,0.552743642,1,1,1,1,1
151,0.262,1,1,0,0,0,0.4496,0.5999,0.5999,1,0.552743642,1,1,1,1,1
152,0.262,1,1,0.007997,0.004582896,0.004213804,0.6709,0.2221,0.2221,1,0.552743642,1,1,1,1,1
153,0.262,1,1,0.090419,0.051817042,0.047643858,0.4951,0.6958,0.6958,1,0.552743642,1,1,1,1,1
154,0.262,1,1,0.234688,0.134494277,0.123662523,0.5239,0.7725,0.7725,1,0.552743642,1,1,1,1,1
155,0.262,1,1,0.368274,0.211049331,0.194052069,0.2634,0.6949,0.6949,1,0.552743642,1,1,1,1,1
