Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
,,,,,,,144.0,27456.144,27224.19
,,,,,,,145.0,26655.5,25557.89
,,,,,,,146.0,26111.799,23847.98
,,,,,,,147.0,25926.946,23280.88
,,,,,,,148.0,25793.713,23237.89
,,,,,,,149.0,25853.61,23661.92
,,,,,,,150.0,26312.672,24989.75
,,,,,,,151.0,27183.715,26630.18
,,,,,,,152.0,27729.73,28843.6
,,,,,,,153.0,28616.081,30929.23
,,,,,,,154.0,28946.36,32909.51
,,,,,,,155.0,29233.652,34049.82
,,,,,,,156.0,29706.865,35308.46
,,,,,,,157.0,28996.734,36440.58
,,,,,,,158.0,28563.66,34203.31
,,,,,,,159.0,28035.089,32952.91
,,,,,,,160.0,27625.333,31524.54
,,,,,,,161.0,28143.847,32168.84
,,,,,,,162.0,29124.805,32282.01
,,,,,,,163.0,28482.136,35942.3
,,,,,,,164.0,27826.384,35576.93
,,,,,,,165.0,27157.193,34658.38
,,,,,,,166.0,26613.759,33466.21
,,,,,,,167.0,25526.446,31242.17
,,,,,,,168.0,24873.898,28161.72
,,,,,,,169.0,23790.056,25445.66
,,,,,,,170.0,23560.792,23863.02
,,,,,,,171.0,23431.475,23340.52
,,,,,,,172.0,23480.336,23464.46
,,,,,,,173.0,23756.77,23963.75
,,,,,,,174.0,24516.652,25228.85
,,,,,,,175.0,25404.872,27006.73
,,,,,,,176.0,26264.523,29019.95
,,,,,,,177.0,27034.017,29656.18
,,,,,,,178.0,27797.726,31310.54
,,,,,,,179.0,27670.812,32345.23
,,,,,,,180.0,27503.759,33731.68
,,,,,,,181.0,27221.273,34441.19
,,,,,,,182.0,26693.503,33051.93
,,,,,,,183.0,26633.695,32044.18
,,,,,,,184.0,26708.366,30687.47
,,,,,,,185.0,29029.041,31149.7
,,,,,,,186.0,30404.625,31496.61
,,,,,,,187.0,30313.311,35367.61
,,,,,,,188.0,29891.629,34996.97
,,,,,,,189.0,29288.12,33960.12
,,,,,,,190.0,28935.146,32373.85
,,,,,,,191.0,27637.259,30254.72
,,,,,,,192.0,26468.956,26944.92
,,,,,,,193.0,26381.736,22584.18
,,,,,,,194.0,26613.403,21083.47
,,,,,,,195.0,26449.287,20398.7
,,,,,,,196.0,26830.029,20452.88
,,,,,,,197.0,26941.813,20676.25
,,,,,,,198.0,28839.916,22341.08
,,,,,,,199.0,30307.971,25950.62
,,,,,,,200.0,32425.815,31159.91
,,,,,,,201.0,32283.593,32643.85
,,,,,,,202.0,31981.171,33409.29
,,,,,,,203.0,31703.758,33518.83
,,,,,,,204.0,31232.503,34764.53
,,,,,,,205.0,30641.81,36134.95
,,,,,,,206.0,30154.09,35983.79
,,,,,,,207.0,29315.71,36054.17
,,,,,,,208.0,29761.066,37484.3
,,,,,,,209.0,31012.495,39559.31
,,,,,,,210.0,32678.219,43052.21
,,,,,,,211.0,31920.651,43053.22
,,,,,,,212.0,31275.846,39180.43
,,,,,,,213.0,30346.152,38250.44
,,,,,,,214.0,29375.429,34830.54
,,,,,,,215.0,28002.248,32248.52
,,,,,,,216.0,25710.142,29777.31
,,,,,,,217.0,24858.501,28276.1
,,,,,,,218.0,24488.884,27257.86
,,,,,,,219.0,24167.238,26802.76
,,,,,,,220.0,24061.862,27431.98
,,,,,,,221.0,24041.926,28118.29
,,,,,,,222.0,25048.071,30086.6
,,,,,,,223.0,27151.497,35333.49
,,,,,,,224.0,29301.559,42436.89
,,,,,,,225.0,28950.81,45263.52
,,,,,,,226.0,28159.244,45836.14
,,,,,,,227.0,27164.847,45679.23
,,,,,,,228.0,27111.358,46622.91
,,,,,,,229.0,26664.4,47105.47
,,,,,,,230.0,26370.344,45267.91
,,,,,,,231.0,26501.263,43953.01
,,,,,,,232.0,27125.776,43856.04
,,,,,,,233.0,29696.719,46529.49
,,,,,,,234.0,31453.401,50509.71
,,,,,,,235.0,31311.98,50791.06
,,,,,,,236.0,31148.22,47310.49
,,,,,,,237.0,30698.948,47178.82
,,,,,,,238.0,29966.923,40950.38
,,,,,,,239.0,29102.911,37560.37
,,,,,,,240.0,26959.168,34653.34
,,,,,,,241.0,26531.078,33362.81
,,,,,,,242.0,26801.193,32335.02
,,,,,,,243.0,27048.969,32044.58
,,,,,,,244.0,27397.582,32437.17
,,,,,,,245.0,27837.776,32834.06
,,,,,,,246.0,29175.268,34457.01
,,,,,,,247.0,32336.637,38610.42
,,,,,,,248.0,33691.039,44219.36
,,,,,,,249.0,33595.809,45487.52
,,,,,,,250.0,32600.077,45256.95
,,,,,,,251.0,32378.467,43661.79
,,,,,,,252.0,31853.634,44043.04
,,,,,,,253.0,31653.028,43736.88
,,,,,,,254.0,31642.348,40837.14
,,,,,,,255.0,31675.1,39884.37
,,,,,,,256.0,32467.734,40535.62
,,,,,,,257.0,34248.357,43050.41
,,,,,,,258.0,34851.777,47134.96
,,,,,,,259.0,34847.327,46307.62
,,,,,,,260.0,34159.624,42267.27
,,,,,,,261.0,33321.244,40337.17
,,,,,,,262.0,32688.632,33906.5
,,,,,,,263.0,31033.677,30857.53
,,,,,,,264.0,28543.635,28525.97
,,,,,,,265.0,27822.112,26169.8
,,,,,,,266.0,27460.238,25094.6
,,,,,,,267.0,27410.042,24380.5
,,,,,,,268.0,27455.61,24467.9
,,,,,,,269.0,27737.829,25066.24
,,,,,,,270.0,29325.144,26742.59
,,,,,,,271.0,31862.178,31007.86
,,,,,,,272.0,33308.606,36649.88
,,,,,,,273.0,32907.572,38618.77
,,,,,,,274.0,32238.648,38856.0
,,,,,,,275.0,31933.467,38977.11
,,,,,,,276.0,32018.284,40225.08
,,,,,,,277.0,31221.2,40662.13
,,,,,,,278.0,31424.565,38815.19
,,,,,,,279.0,31065.361,38135.53
,,,,,,,280.0,31366.27,39018.73
,,,,,,,281.0,32602.302,41610.38
,,,,,,,282.0,33836.287,45110.61
,,,,,,,283.0,33594.919,44920.61
,,,,,,,284.0,32915.048,41246.35
,,,,,,,285.0,32184.981,40836.13
,,,,,,,286.0,31078.444,36053.24
,,,,,,,287.0,29696.808,33333.18
,,,,,,,288.0,27523.784,30977.44
,,,,,,,289.0,26762.567,29296.26
,,,,,,,290.0,26506.603,29005.0
,,,,,,,291.0,26371.145,28689.13
,,,,,,,292.0,26410.483,29658.87
,,,,,,,293.0,26690.299,30808.33
,,,,,,,294.0,27400.786,32701.39
